feature,chi2,pvalue
the idiot,2258.4802559044924,0.0
of arc,1756.363878394017,0.0
young america,1490.868090013715,7.704606448838417e-284
de claim,1214.6325382238965,1.0104652910399198e-225
idiot,1014.5028240277766,6.655481075091371e-184
england tale,943.7049738567023,3.454483151751284e-169
lady life,941.8932498193734,8.209315308020497e-169
mark twain,881.3609072772622,2.8465568364384105e-156
john marvel,879.5402685255032,6.774108281906493e-156
enchanted type,833.6347977357435,2.0484033468045013e-146
horse shoe,832.7521119844799,3.1149466753568824e-146
type writer,824.4586775140696,1.5969600732020755e-144
america in,808.3508350684186,3.323386289249583e-141
note page,777.5266284840136,7.266655449540309e-135
idiot at,737.6258428278901,1.1131498814373961e-126
his grace,729.7020909636215,4.6661253616786393e-125
book about,722.471282990479,1.4078140102731827e-123
main street,718.882674483719,7.629932610591559e-123
marvel assistant,705.5085385276554,4.129664367169317e-120
ic rob,705.3400134788969,4.470305779413943e-120
civilization chap,695.0940043613756,5.5230401326994115e-118
nobly won,690.8817542187272,3.995670869437382e-117
fruit of,680.5618739227074,5.07795272590379e-115
irish agent,673.9477183325976,1.1301687129875171e-113
shoe robinson,670.3443318723253,6.121660905537111e-113
far horizon,661.2538183800624,4.33232498056549e-111
brass bottle,644.6143584108992,1.0429344302630688e-107
virginia,627.6734600005688,2.850019633950063e-104
ic chronicle,626.3675663882811,5.2419023669172354e-104
noble purpose,608.9202146708661,1.7839210885580825e-100
school master,603.1244282779064,2.6484922102430354e-99
the students,599.7258063197725,1.2871972810919575e-98
sealed message,578.581047184271,2.3713713961930254e-94
rob of,575.4350052567507,1.0200274909989639e-93
silent house,569.017068082232,1.9968309801809147e-92
fallen idol,560.778177793543,9.05482964479426e-91
rocky mountains,553.6291662183985,2.4700395337074623e-89
of quality,545.7568437817316,9.376743618865096e-88
best funny,538.9261941321295,2.192280694421536e-86
recollections op,535.9218736769899,8.759838503885605e-86
the virginia,525.1778605808562,1.2347581035139701e-83
page note,513.9322066318754,2.1724607561287637e-81
in de,513.4743770724767,2.6808610285142555e-81
chinese,512.0056317426452,5.2625164481625e-81
captains courageous,508.0571451227716,3.223218336702065e-80
sketch in,504.109142792414,1.9712583285514663e-79
the fruit,501.1842421744535,7.534170007761587e-79
virginia company,498.9141506184203,2.1318434740515738e-78
funny stories,498.05259029394637,3.1633422273790305e-78
arc,497.99134407284976,3.2533359225470387e-78
an de,490.45436602890317,1.024436917549163e-76
an den,483.7764451590426,2.1682136767874193e-75
at forty,472.82482926070196,3.2087053166839114e-73
slavery,467.2661608445423,4.036671360013631e-72
miss dart,466.13965695504544,6.741078217135678e-72
in virginia,460.2814921756982,9.683055321103875e-71
the enchanted,457.70052708824136,3.129112549374381e-70
mountains,456.8066030456969,4.69666376418049e-70
territory,453.0208097328007,2.620168218389464e-69
the sealed,447.6276447974857,3.0251234255569148e-68
robinson,437.6001811804023,2.83512415293616e-66
mountains of,434.30213387699763,1.2591696297878615e-65
the irish,434.0692718864047,1.3988879179702022e-65
on de,433.56190234798925,1.7593171379192222e-65
our national,431.6907466088222,4.096512703992366e-65
de an,428.9214044905079,1.4301210895346657e-64
master christian,425.8554215575854,5.7023245389599835e-64
about myself,424.0949670838404,1.2610854449498502e-63
sir daniel,422.4609035407435,2.633607097530687e-63
sugar princess,421.87836207010406,3.423962378659667e-63
house boat,421.6340939175133,3.82222729998704e-63
mr george,418.8565608754875,1.3350170913190762e-62
jane,417.22737568322884,2.7790968793047473e-62
sir thomas,416.97570166534524,3.1122895624705228e-62
states,415.4459018936404,6.193372746659369e-62
the mountains,415.11765969824535,7.178498383067677e-62
the bowl,405.58263432362594,5.196922064611233e-60
dwarf chamber,403.87665443781697,1.1167650162930156e-59
forests,402.27343794146066,2.2909683030445454e-59
elizabeth,400.6343723644147,4.77426090683038e-59
colony,395.4736760126017,4.807840002145622e-58
poor scholar,393.90393966637015,9.699395605614997e-58
mrs frank,393.2215861105105,1.3158071655399812e-57
marriage bond,392.82203902488914,1.5730167764811267e-57
wolf,392.3086728012999,1.9785632575275332e-57
new england,391.9739317807388,2.297718053311931e-57
miss bull,384.2633629381636,7.169138030239366e-56
god good,381.685173171816,2.260849973027462e-55
de house,374.3391952030879,5.932422308721992e-54
money sense,368.78547416660683,6.977536135215793e-53
chronicle of,367.11942621732334,1.4602745105937638e-52
american note,365.23956643324357,3.3581902363831076e-52
la hire,364.31943090588743,5.0471431172934746e-52
shores or,362.9308705461509,9.331562057326679e-52
the bundle,359.165896748268,4.9316333441938507e-51
twain,356.95058719580084,1.312092221502588e-50
sunny shores,352.4301141619854,9.639814099879464e-50
irish,351.8489571129903,1.245401520267067e-49
the range,351.7885971014714,1.2789737984569918e-49
park,351.1288592411981,1.7104527325564623e-49
grace of,348.2045846787867,6.199048642101034e-49
all de,343.39392674697973,5.139133000086414e-48
america afloat,343.11523296358433,5.808326968711538e-48
of saint,341.8279402896006,1.0221782720815732e-47
the territory,336.3593586532696,1.124357777921812e-46
sir richard,332.2683172325111,6.736101128545404e-46
said mr,327.7199901301356,4.9115522212211797e-45
mrs ward,326.327258593595,9.017240555267448e-45
vote,323.1442935049582,3.6097240253792544e-44
bound or,322.6417388204297,4.492696176929713e-44
the rocky,320.84139014513937,9.834979336412886e-44
holy orders,319.8155605830151,1.5364881869159351e-43
students,318.85736942255244,2.330376992603138e-43
the chinese,318.64656481643044,2.553954334575616e-43
marvel,318.41201595981715,2.827983720499809e-43
peaks,317.71949696929187,3.820672291781179e-43
cottage or,317.69231338985514,3.866053455295898e-43
james more,316.77050915973064,5.7693020877742914e-43
mrs pierce,316.05145656886054,7.882904684520464e-43
and sensibility,315.2918787617111,1.0960717836248574e-42
the forests,314.63181345783033,1.459469169950049e-42
note books,312.35523567694776,3.9155846904819985e-42
in connection,312.3170170739318,3.9809601058640544e-42
anne,311.53039981298053,5.5971589580447866e-42
of jane,311.3052381374453,6.170422817922656e-42
mrs part,311.2427827397082,6.339578616477171e-42
captains,309.41717896029644,1.3970958228076696e-41
winter pilgrimage,309.345759987529,1.4409362478414836e-41
ic american,309.089518535147,1.6098478023898117e-41
burning daylight,308.418976298792,2.1514452106242147e-41
by ic,308.0459476825044,2.52799681133396e-41
shoe,306.17737744886153,5.668295372078206e-41
sense and,306.08524934883644,5.89839166616503e-41
courageous,305.8145527695474,6.629876169165563e-41
lord duke,304.83195986548066,1.013307397254341e-40
folks,304.36161992887094,1.2413573189495963e-40
horse tale,300.66173289934727,6.118039467483571e-40
never too,300.5114964634435,6.526975391191759e-40
self made,295.1830642029515,6.454410726018618e-39
white lies,294.16281258925994,1.0001608950337414e-38
twas,293.59946774169805,1.2736566160207319e-38
united states,291.8505302793131,2.6962849426647624e-38
magic wheel,289.9915804014223,5.978803422779527e-38
cape ann,288.4038694356684,1.1795288640946985e-37
sea wolf,287.95813186074633,1.4272672479262646e-37
outward bound,286.4872388420166,2.676542521309166e-37
colonies,286.20139669445297,3.0242168126057326e-37
to mend,285.620217677222,3.876364966826236e-37
busy life,284.02783760317243,7.649426805704686e-37
quiet life,283.53121288379754,9.454497628027038e-37
sugar pine,282.17625630562975,1.684732244220717e-36
bout,282.15277930729064,1.7016734542709607e-36
by muslin,282.05892322049624,1.771117365070554e-36
chap ii,279.254574342814,5.845512389143903e-36
spring days,275.8218058634312,2.514041535046565e-35
america,275.14935268133553,3.344403116455132e-35
king arthur,274.61508891003865,4.1952291104875704e-35
rocky,274.3073175632102,4.7802056396881844e-35
and cottage,274.26687063938283,4.862907277427329e-35
and scotland,274.16538626234086,5.076755630352519e-35
pine,273.0451507738341,8.162385930828303e-35
on board,271.0881793187837,1.869499664942739e-34
